restaurant_name,website,contact_page,google_rating,review_count
Fresco Cafe & Pizzeria,https://www.orderfrescocafe.com/?utm_source=gbp,,4.6,423.0
Pepperoni Ray's Cafe,https://pepperonirays.devournow.com/,https://devournow.com/contact.html,4.5,421.0
Taco Bell,https://locations.tacobell.com/la/new-orleans/6007-bullard-ave.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036928&utm_content=website&y_source=1_NTg2NjMwMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.tacobell.com/contact-us,3.0,421.0
Tony's Super Cajun Seafood,http://supercajunseafood.com/,http://supercajunseafood.com/#contact,4.0,418.0
Umi 2 Sushi & Hibachi,http://www.umi2sushineworleans.com/,,4.4,414.0
Tia Maria's Kitchen,https://order.toasttab.com/online/tia-maria-restaurant,,4.8,401.0
China Orchid,https://chinaorchidnola.com/,,4.1,397.0
Deanie's On Hayne,https://devournow.com/restaurants/deanies-on-hayne-new-orleans-4201/menu?standalone,,4.2,395.0
Forbidden Pizza,https://www.forbiddenpizza.com/,https://forbiddenpizza.com/contact,4.7,387.0
Wing Snack,https://www.wingsnackexpress.com/,,4.2,387.0
The Original Italian Pie Harahan,https://weborder5.microworks.com/italianpie/Items.aspx?store=1563,,4.0,386.0
Domino's Pizza,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,,3.3,385.0
La Crepe Nanou,http://lacrepenanou.com/,,4.3,376.0
Vucinovich's,https://www.facebook.com/Vucinovichs/,https://www.facebook.com/help/637205020878504,4.7,367.0
King Brasserie + Bar,https://www.kingbrasserieandbar.com/,,4.7,364.0
Wingstop,https://www.wingstop.com/location/wingstop-1221-new-orleans-la-70126/menu?y_source=1_NTUyMDc2OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,3.6,356.0
The Little Easy,https://www.facebook.com/profile.php?id=61561780670940,,4.3,355.0
https://photran.gbiz.shop/,https://photran.gbiz.shop/,,4.8,354.0
LUZIANNE CAFE,https://luziannecafe.com/,,4.5,351.0
Taqueria La Lucha,https://www.facebook.com/ryenpiepizzabar/,https://www.facebook.com/help/637205020878504,4.7,341.0
Manchu Kitchen,http://www.manchu-kitchen.com/,http://manchu-kitchen.com/#contactform,4.1,340.0
Le's Baguette Banh Mi Cafe,https://www.facebook.com/lesbaguettenola,https://www.facebook.com/help/637205020878504,4.7,336.0
Juniors on Harrison,https://www.juniorsonharrison.com/,,4.3,324.0
Maple Street Café,https://www.ordermaplestcafe.com/,,4.6,324.0
Mr. Shrimp's Kitchen,http://www.mrshrimpskitchen.com/,,4.8,324.0
U Pizza,http://upizzanola.com/,http://upizzanola.com/#scroll-106928,4.5,322.0
Asuka Sushi & Hibachi,https://asukaneworleans.com/,,4.6,322.0
Domino's Pizza,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps_menutest,,3.0,319.0
Green Olives Cafe & Pizzeria,https://www.greenolivescafela.com/,,4.8,319.0
August Moon,http://www.augustmoonuptown.com/,https://www.augustmoonuptown.com/contact,4.1,316.0
Eat-Well Food Mart,http://www.eatwellfoodmart.com/,,4.3,314.0
Nola Mia Gelato Cafe,http://nolamiagelato.com/,,4.6,314.0
